# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
不能	507	200	不能	不能:307 不|能:200	test=7,train=498,val=2
不要	675	176	不|要	不|要:499 不要:176	test=5,train=658,val=12
那个	503	164	那|个	那|个:339 那个:164	test=7,train=495,val=1
不会	504	163	不|会	不|会:341 不会:163	test=5,train=494,val=5
就是	423	152	就|是	就|是:271 就是:152	test=2,train=418,val=3
有没有	296	146	有没有	有没有:150 有|没有:93 有|没|有:53	test=5,train=287,val=4
怎么办	292	134	怎么办	怎么办:158 怎么|办:133 怎|么|办:1	test=5,train=284,val=3
还有	363	124	还有	还有:239 还|有:124	test=5,train=353,val=5
好吗	510	115	好|吗	好|吗:395 好吗:115	test=4,train=497,val=9
什么时候	278	91	什么时候	什么时候:187 什么|时候:91	test=3,train=272,val=3
想要	248	85	想要	想要:163 想|要:85	test=3,train=242,val=3
好了	257	83	好|了	好|了:174 好了:83	train=256,val=1
不是	1552	81	不|是	不|是:1471 不是:81	test=12,train=1524,val=16
有人	197	81	有人	有人:116 有|人:81	test=5,train=190,val=2
不行	141	64	不行	不行:77 不|行:64	train=141
好的	160	63	好|的	好|的:97 好的:63	test=4,train=156
是的	210	61	是|的	是|的:149 是的:61	test=2,train=207,val=1
没事	166	61	没事	没事:105 没|事:61	test=4,train=161,val=1
——	138	57	—|—	—|—:81 ——:57	test=1,train=135,val=2
没有	1155	53	没有	没有:1102 没|有:53	test=8,train=1141,val=6
你的	1182	51	你|的	你|的:1131 你的:51	test=10,train=1161,val=11
的话	112	51	的话	的话:61 的|话:51	test=3,train=109
一个人	142	48	一|个|人	一|个|人:94 一个人:38 一个|人:7 一|个人:3	train=141,val=1
个人	267	42	个|人	个|人:225 个人:42	test=1,train=264,val=2
看着	88	42	看着	看着:46 看|着:42	train=83,val=5
好吧	109	41	好吧	好吧:68 好|吧:41	test=2,train=107
不用	99	41	不|用	不|用:58 不用:41	test=1,train=97,val=1
还好	121	39	还|好	还|好:82 还好:39	train=118,val=3
这个	783	34	这|个	这|个:749 这个:34	test=5,train=772,val=6
哪个	96	33	哪个	哪个:63 哪|个:33	train=95,val=1
不好	94	33	不|好	不|好:61 不好:33	test=2,train=92
是不是	400	32	是|不|是	是|不|是:368 是不是:32	test=2,train=392,val=6
……	71	32	…|…	…|…:39 ……:32	test=2,train=69
要不	193	31	要|不	要|不:162 要不:31	train=191,val=2
打电话	84	28	打|电话	打|电话:56 打电话:28	test=2,train=82
怎么回事	134	27	怎么回事	怎么回事:107 怎么|回事:27	test=1,train=131,val=2
得了	50	25	得了	得了:25 得|了:25	test=1,train=49
最好	63	24	最|好	最|好:39 最好:24	test=1,train=62
得到	114	23	得到	得到:91 得|到:23	train=112,val=2
不对	102	23	不|对	不|对:79 不对:23	test=1,train=99,val=2
所有人	52	23	所有人	所有人:29 所有|人:23	train=51,val=1
就像	47	23	就|像	就|像:24 就像:23	test=1,train=46
在一起	99	22	在|一起	在|一起:77 在一起:22	test=1,train=96,val=2
正在	94	22	正在	正在:72 正|在:22	test=1,train=93
没人	78	22	没人	没人:56 没|人:22	train=77,val=1
没什么	49	22	没|什么	没|什么:27 没什么:22	test=3,train=45,val=1
这种	172	20	这|种	这|种:152 这种:20	test=2,train=169,val=1
一次	105	20	一|次	一|次:85 一次:20	test=1,train=101,val=3
准备好	67	20	准备|好	准备|好:47 准备好:20	train=66,val=1
够了	65	20	够|了	够|了:45 够了:20	train=65
不管	52	19	不管	不管:33 不|管:19	train=52
算是	39	19	算是	算是:20 算|是:19	train=38,val=1
第一次	38	19	第一次	第一次:19 第一|次:19	train=38
不见	58	18	不|见	不|见:40 不见:18	test=1,train=56,val=1
好不好	114	17	好不好	好不好:97 好|不|好:16 好|不好:1	test=2,train=111,val=1
每天	53	16	每|天	每|天:37 每天:16	train=53
上去	47	15	上去	上去:32 上|去:15	test=1,train=45,val=1
对了	41	15	对了	对了:26 对|了:15	train=41
一块	39	15	一|块	一|块:24 一块:15	train=38,val=1
我家	38	15	我家	我家:23 我|家:15	train=38
多大	37	15	多|大	多|大:22 多大:15	test=1,train=36
你家	32	15	你家	你家:17 你|家:15	test=1,train=31
那天	32	15	那天	那天:17 那|天:15	test=1,train=30,val=1
一年	31	15	一|年	一|年:16 一年:15	train=31
两个	144	14	两|个	两|个:130 两个:14	test=3,train=138,val=3
是啊	53	14	是|啊	是|啊:39 是啊:14	train=53
不知	37	14	不知	不知:23 不|知:14	test=1,train=35,val=1
拿着	29	14	拿|着	拿|着:15 拿着:14	test=1,train=26,val=2
不知道	373	13	不|知道	不|知道:360 不知道:13	test=8,train=362,val=3
家里	64	13	家里	家里:51 家|里:13	train=63,val=1
完了	53	13	完|了	完|了:40 完了:13	train=53
一天	47	13	一|天	一|天:34 一天:13	train=45,val=2
并不	36	13	并|不	并|不:23 并不:13	train=36
吃的	32	13	吃|的	吃|的:19 吃的:13	test=1,train=31
太多	30	13	太|多	太|多:17 太多:13	train=30
手上	28	13	手|上	手|上:15 手上:13	train=28
不到	92	12	不|到	不|到:80 不到:12	train=91,val=1
那种	62	12	那|种	那|种:50 那种:12	train=62
有何	47	12	有|何	有|何:35 有何:12	train=46,val=1
不够	41	12	不|够	不|够:29 不够:12	train=41
怎能	40	12	怎能	怎能:28 怎|能:12	train=39,val=1
就象	30	12	就|象	就|象:18 就象:12	test=1,train=29
还是	445	11	还是	还是:434 还|是:11	test=8,train=433,val=4
你好	173	11	你好	你好:162 你|好:11	test=1,train=171,val=1
留在	45	11	留|在	留|在:34 留在:11	train=44,val=1
从没	24	11	从没	从没:13 从|没:11	train=24
第一个	24	11	第一个	第一个:13 第一|个:11	train=24
句话	23	11	句话	句话:12 句|话:11	train=23
不了	67	10	不|了	不|了:57 不了:10	test=1,train=65,val=1
这样做	55	10	这样|做	这样|做:45 这样做:10	test=2,train=53
有空	30	10	有|空	有|空:20 有空:10	train=30
你爸	28	10	你爸	你爸:18 你|爸:10	train=27,val=1
早就	25	10	早就	早就:15 早|就:10	train=25
不成	22	10	不|成	不|成:12 不成:10	train=22
不要紧	19	10	不要紧	不要紧:9 不|要|紧:6 不|要紧:4	train=19
只是	161	9	只是	只是:152 只|是:9	test=2,train=158,val=1
只有	121	9	只有	只有:112 只|有:9	train=121
件事	80	9	件事	件事:71 件|事:9	test=1,train=78,val=1
再来	56	9	再|来	再|来:47 再来:9	test=1,train=54,val=1
很久	35	9	很|久	很|久:26 很久:9	train=35
可不可以	34	9	可|不|可以	可|不|可以:25 可不可以:8 可不|可以:1	train=34
像是	31	9	像是	像是:22 像|是:9	train=31
哪有	28	9	哪有	哪有:19 哪|有:9	train=28
变得	22	9	变|得	变|得:13 变得:9	test=1,train=21
病了	22	9	病了	病了:13 病|了:9	train=22
有可能	21	9	有|可能	有|可能:12 有可能:9	train=21
拿去	20	9	拿去	拿去:11 拿|去:9	train=18,val=2
同一	19	9	同|一	同|一:10 同一:9	test=1,train=18
一个	883	8	一|个	一|个:875 一个:8	test=7,train=869,val=7
不过	134	8	不过	不过:126 不|过:8	test=2,train=132
不敢	54	8	不|敢	不|敢:46 不敢:8	train=53,val=1
不可能	48	8	不|可能	不|可能:40 不可能:8	test=1,train=46,val=1
就这样	48	8	就|这样	就|这样:40 就这样:8	train=45,val=3
一遍	37	8	一|遍	一|遍:29 一遍:8	test=1,train=34,val=2
听着	36	8	听着	听着:28 听|着:8	train=36
有钱	36	8	有|钱	有|钱:28 有钱:8	train=36
等着	36	8	等|着	等|着:28 等着:8	train=35,val=1
再也	33	8	再|也	再|也:25 再也:8	train=33
一家	31	8	一|家	一|家:23 一家:8	test=1,train=29,val=1
几岁	31	8	几|岁	几|岁:23 几岁:8	test=1,train=30
另一	30	8	另|一	另|一:22 另一:8	test=1,train=29
全都	28	8	全都	全都:20 全|都:8	train=28
快跑	23	8	快|跑	快|跑:15 快跑:8	train=23
做错	21	8	做|错	做|错:13 做错:8	test=1,train=20
好呀	19	8	好|呀	好|呀:11 好呀:8	train=19
正是	18	8	正|是	正|是:10 正是:8	test=1,train=17
多年	17	8	多|年	多|年:9 多年:8	train=17
该死的	73	7	该死|的	该死|的:66 该死的:7	train=72,val=1
天啊	53	7	天啊	天啊:46 天|啊:7	test=1,train=52
不可以	52	7	不|可以	不|可以:45 不可以:7	train=52
更好	37	7	更|好	更|好:30 更好:7	train=37
更多	29	7	更多	更多:22 更|多:7	test=1,train=28
