# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
,”	230	84	,|”	,|”:146 ,”:84	test=6,train=222,val=2
।”	166	64	।”	।”:102 ।|”:64	test=3,train=162,val=1
?”	66	16	?|”	?|”:50 ?”:16	test=2,train=64
,"	22	8	,"	,":14 ,|":8	test=1,train=21
--	15	5	-|-	-|-:10 --:5	train=15
---	39	4	---	---:35 -|-|-:4	train=39
किसके	30	2	किसके	किसके:28 किस|के:2	test=2,train=28
किसलिए	10	2	किसलिए	किसलिए:8 किस|लिए:2	train=10
ठीक-ठाक	6	2	ठीक|-|ठाक	ठीक|-|ठाक:4 ठीक-ठाक:2	train=6
रूप-रंग	6	2	रूप|-|रंग	रूप|-|रंग:4 रूप-रंग:2	train=6
अलग-अलग	5	1	अलग|-|अलग	अलग|-|अलग:4 अलग-अलग:1	train=5
टी-शर्ट	4	1	टी|-|शर्ट	टी|-|शर्ट:3 टी-शर्ट:1	train=4
यू-टर्न	3	1	यू-टर्न	यू-टर्न:2 यू|-|टर्न:1	train=3
छोड़ो!	2	1	छोड़ो|!	छोड़ो|!:1 छोड़ो!:1	train=2
पी-मेल	2	1	पी-मेल	पी-मेल:1 पी|-|मेल:1	train=2
