# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
のに	1376	650	の|に	の|に:726 のに:650	test=5,train=1361,val=10
ので	1244	618	ので	ので:626 の|で:618	test=8,train=1231,val=5
何か	1397	477	何|か	何|か:920 何か:477	test=12,train=1375,val=10
なん	1766	323	な|ん	な|ん:1443 なん:323	test=15,train=1742,val=9
誰か	646	275	誰|か	誰|か:371 誰か:275	test=1,train=644,val=1
とも	610	222	と|も	と|も:388 とも:222	test=6,train=598,val=6
だって	441	171	だ|って	だ|って:270 だって:171	test=2,train=434,val=5
どうか	416	120	どう|か	どう|か:296 どうか:120	test=6,train=404,val=6
何て	226	100	何|て	何|て:126 何て:100	test=1,train=224,val=1
どこか	212	99	どこ|か	どこ|か:113 どこか:99	test=4,train=208
でも	2284	97	で|も	で|も:2187 でも:97	test=23,train=2244,val=17
だい	189	90	だい	だい:99 だ|い:90	test=3,train=185,val=1
であった	261	88	であった	であった:173 で|あった:88	test=3,train=255,val=3
違いない	181	88	違い|ない	違い|ない:93 違いない:88	test=3,train=178
非常に	377	87	非常|に	非常|に:290 非常に:87	test=5,train=367,val=5
なんだ	1051	82	な|ん|だ	な|ん|だ:969 なん|だ:72 なんだ:10	test=9,train=1037,val=5
もの	2803	78	もの	もの:2725 も|の:78	test=19,train=2758,val=26
ところで	183	77	ところ|で	ところ|で:106 ところで:77	train=178,val=5
かしら	346	75	かしら	かしら:271 か|しら:75	test=2,train=341,val=3
でなく	158	75	でなく	でなく:83 で|なく:75	train=158
なんと	158	71	なんと	なんと:87 なん|と:71	test=2,train=156
今まで	175	66	今まで	今まで:109 今|まで:66	test=1,train=174
なんで	529	59	なんで	なんで:470 なん|で:59	test=6,train=519,val=4
それとも	199	57	それ|と|も	それ|と|も:142 それとも:49 それ|とも:8	test=3,train=194,val=2
そのような	107	52	その|よう|な	その|よう|な:55 そのような:52	test=1,train=106
それで	445	49	それ|で	それ|で:396 それで:49	test=3,train=437,val=5
いくつか	190	46	いくつ|か	いくつ|か:144 いくつか:46	test=1,train=188,val=1
高橋教授	173	44	高橋|教授	高橋|教授:129 高橋教授:44	train=173
そういう	128	44	そう|いう	そう|いう:84 そういう:44	test=1,train=125,val=2
どのくらい	243	43	どの|くらい	どの|くらい:200 どのくらい:43	test=1,train=239,val=3
とか	142	42	と|か	と|か:100 とか:42	test=2,train=139,val=1
だけど	209	41	だ|けど	だ|けど:168 だけど:41	test=2,train=205,val=2
なんです	371	40	な|ん|です	な|ん|です:331 なん|です:31 なんです:9	test=3,train=364,val=4
いつでも	146	40	いつ|で|も	いつ|で|も:106 いつでも:38 いつ|でも:2	test=1,train=143,val=2
できるだけ	141	40	できる|だけ	できる|だけ:101 できるだけ:40	test=2,train=138,val=1
かい	461	38	かい	かい:423 か|い:38	test=4,train=454,val=3
どれくらい	231	38	どれ|くらい	どれ|くらい:193 どれくらい:38	test=1,train=229,val=1
どうして	806	36	どうして	どうして:770 どう|して:36	test=6,train=794,val=6
どうしても	85	36	どうしても	どうしても:49 どう|して|も:25 どうして|も:11	train=84,val=1
それに	308	34	それ|に	それ|に:274 それに:34	test=3,train=302,val=3
そこで	209	34	そこ|で	そこ|で:175 そこで:34	test=3,train=204,val=2
にちがいない	59	33	に|ちがいない	に|ちがいない:26 に|ちがい|ない:15 にちがいない:13 にち|が|いない:5	train=59
こういう	113	32	こういう	こういう:81 こう|いう:32	train=112,val=1
でない	71	32	で|ない	で|ない:39 でない:32	train=71
いるようだ	122	31	いるようだ	いるようだ:91 いる|よう|だ:31	train=121,val=1
めったに	114	31	めった|に	めった|に:83 めったに:31	test=1,train=111,val=2
その後	75	31	その後	その後:44 その|後:31	test=1,train=73,val=1
対して	198	30	対して	対して:168 対|して:30	train=197,val=1
愛して	168	30	愛して	愛して:138 愛|して:30	test=1,train=166,val=1
本当だ	87	30	本当|だ	本当|だ:57 本当だ:30	test=1,train=86
だから	419	29	だ|から	だ|から:390 だから:29	test=2,train=417
一日中	160	29	一日|中	一日|中:131 一日中:29	test=1,train=158,val=1
してた	232	27	してた	してた:205 して|た:27	train=232
どういう	206	27	どういう	どういう:179 どう|いう:27	test=2,train=204
対する	141	27	対する	対する:114 対|する:27	train=140,val=1
世界中	71	27	世界|中	世界|中:44 世界中:27	train=71
いかがです	149	26	いかがです	いかがです:123 いかが|です:26	test=1,train=148
自分自身	57	26	自分|自身	自分|自身:31 自分自身:26	test=1,train=55,val=1
これから	94	25	これ|から	これ|から:69 これから:25	test=1,train=92,val=1
今や	71	25	今|や	今|や:46 今や:25	train=71
ともに	68	24	ともに	ともに:44 とも|に:24	train=67,val=1
時間通り	53	24	時間|通り	時間|通り:29 時間通り:24	train=52,val=1
この世	61	23	この|世	この|世:38 この世:23	test=1,train=60
とたんに	37	23	と|たんに	と|たんに:14 とたん|に:10 とたんに:9 と|たん|に:4	train=37
本当の	253	22	本当|の	本当|の:231 本当の:22	test=1,train=252
はならない	222	22	は|ならない	は|ならない:200 はならない:22	train=218,val=4
実に	88	22	実に	実に:66 実|に:22	train=88
実は	85	22	実|は	実|は:63 実は:22	test=1,train=84
この前	72	22	この|前	この|前:50 この前:22	train=72
