#!group_unknown=0
ไม่	12365
ฉัน	9872
ไป	9384
จะ	7512
แล้ว	7428
ได้	7424
มา	6922
คุณ	6792
ผม	6202
นะ	6074
มี	5317
มัน	5299
?	5292
อะไร	4973
ก็	4950
ให้	4688
เป็น	4661
เขา	4501
!	4413
เลย	4305
เธอ	4218
ที่	4159
เรา	4079
อยู่	3861
เหรอ	3798
ทำ	3750
ๆ	3656
ว่า	3445
ของ	3398
นี่	3310
ใช่	2908
ต้อง	2888
ครับ	2866
กัน	2746
คน	2670
ไหม	2564
สิ	2510
ดี	2367
นาย	2229
ล่ะ	2133
นี้	2117
กับ	2072
มาก	2041
ด้วย	2034
แต่	2024
ดู	1992
รู้	1884
ใน	1770
เอา	1743
บอก	1723
มั้ย	1709
ใคร	1697
ข้า	1678
ยัง	1665
อย่า	1664
พูด	1601
อยาก	1588
พ่อ	1519
ทำไม	1466
ค่ะ	1454
น่ะ	1416
กลับ	1406
ไหน	1389
อีก	1353
แก	1340
คือ	1280
และ	1278
ไว้	1267
นั่น	1203
หน่อย	1201
ไง	1190
ถึง	1183
คะ	1171
ออก	1169
ขอ	1162
เร็ว	1157
ตาย	1121
จาก	1112
ก่อน	1109
พวก	1109
หรือ	1108
คิด	1107
หา	1101
เห็น	1093
ขึ้น	1088
ไอ้	1079
เถอะ	1077
เจ้า	1074
แม่	1062
นั้น	1057
ถ้า	1036
.	1024
ลูก	1015
เรื่อง	989
แค่	972
เข้า	965
เอง	949
ช่วย	946
ตัว	942
หรอก	921
ยังไง	903
,	894
กำลัง	882
ชอบ	854
หนู	843
งั้น	842
ลง	815
เคย	808
ท่าน	807
ที่นี่	790
กิน	780
บ้าน	773
พวกเขา	770
จริงๆ	744
ทาง	744
ซะ	728
คง	725
เจอ	716
ถูก	714
จริง	683
เดี๋ยว	676
สอง	623
เหมือน	621
เนี่ย	608
บ้าง	607
ฟัง	605
รอ	605
หยุด	601
พี่	589
หมด	585
ตาม	583
ชื่อ	581
งาน	578
เวลา	577
เด็ก	576
พอ	567
ทุกคน	557
แน่	552
ใช้	547
ขอบคุณ	544
มึง	544
กู	526
เข้าใจ	522
ตอนนี้	512
บ้า	508
จัง	503
ต้องการ	500
ฆ่า	497
รถ	492
รัก	492
โอเค	492
อย่าง	489
เพื่อน	485
เงิน	483
ขอโทษ	477
เล่น	476
…	467
หนึ่ง	447
ทอม	444
รึ	442
เพราะ	433
วัน	431
ส่ง	423
น่า	422
จับ	418
รับ	416
แบบ	407
เปิด	405
คุย	403
ใหม่	403
นอน	402
วะ	398
ถาม	393
สวย	389
ซิ	388
ที่ไหน	383
หน้า	381
เกิด	377
นั่ง	372
ต่อ	365
ผิด	364
มอง	363
ลอง	359
เพื่อ	357
น้ำ	355
การ	351
จำ	350
โทร	350
กลัว	346
รู้จัก	342
วันนี้	342
สาม	341
พวกเรา	339
แบบนี้	338
บน	336
มือ	336
รึเปล่า	335
